taxon_id,taxon_kind,scientific_name,language,common_name,source,source_priority,confidence,display_status,reviewer,notes,apply_status
reftaxon:inaturalist:7122,referenced_taxon,Netta rufina,en,Red-crested Pochard,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:7123,referenced_taxon,Netta erythrophthalma,en,Southern Pochard,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:7192,referenced_taxon,Mergellus albellus,en,Smew,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:72486,referenced_taxon,Alopochen aegyptiaca,en,Egyptian Goose,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:72502,referenced_taxon,Anas chlorotis,en,Brown Teal,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:72994,referenced_taxon,Lophonetta specularioides,en,Crested Duck,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:73542,referenced_taxon,Turdus flavipes,en,Yellow-legged Thrush,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:792977,referenced_taxon,Dryobates minor,en,Lesser Spotted Woodpecker,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:792985,referenced_taxon,Dendrocoptes medius,en,Middle Spotted Woodpecker,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:792988,referenced_taxon,Dryobates pubescens,en,Downy Woodpecker,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:793469,referenced_taxon,Regulus regulus,en,Goldcrest,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:8001,referenced_taxon,Corvus ossifragus,en,Fish Crow,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:8010,referenced_taxon,Corvus corax,en,Common Raven,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:8029,referenced_taxon,Corvus frugilegus,fr,Corbeau freux,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:8029,referenced_taxon,Corvus frugilegus,en,Rook,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:8029,referenced_taxon,Corvus frugilegus,nl,Roek,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
