priority,taxon_id,taxon_kind,scientific_name,language,existing_name,selected_candidate_name,selected_source,selected_source_priority,display_status,recommendation,conflict_status,alternatives,affected_target_count,affected_ready_target_count,relationship_occurrence_count,projected_unlock_value,reviewer,reviewed_name,review_confidence,review_source,review_notes,apply_status
P1,taxon:birds:000041,canonical_taxon,Apus apus,fr,,Martinet noir,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,2,2,2,0,,,,,,pending
P1,taxon:birds:000041,canonical_taxon,Apus apus,en,Common Swift,Common Swift,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,2,2,2,2,,,,,,pending
P1,taxon:birds:000041,canonical_taxon,Apus apus,nl,,Gierzwaluw,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,2,2,,,,,,pending
P1,taxon:birds:000042,canonical_taxon,Delichon urbicum,fr,,Hirondelle de fenêtre,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,6,5,8,5,,,,,,pending
P1,taxon:birds:000042,canonical_taxon,Delichon urbicum,en,Western House Martin,Western House Martin,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,6,5,8,5,,,,,,pending
P1,taxon:birds:000042,canonical_taxon,Delichon urbicum,nl,,Huiszwaluw,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,6,5,8,5,,,,,,pending
P1,taxon:birds:000043,canonical_taxon,Hirundo rustica,fr,,Hirondelle rustique,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,4,4,6,0,,,,,,pending
P1,taxon:birds:000043,canonical_taxon,Hirundo rustica,en,Barn Swallow,Barn Swallow,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,4,4,6,4,,,,,,pending
P1,taxon:birds:000043,canonical_taxon,Hirundo rustica,nl,,Boerenzwaluw,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,4,4,6,4,,,,,,pending
P1,taxon:birds:000044,canonical_taxon,Riparia riparia,fr,,Hirondelle de rivage,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,2,2,4,0,,,,,,pending
P1,taxon:birds:000044,canonical_taxon,Riparia riparia,en,Bank Swallow,Bank Swallow,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,2,2,4,2,,,,,,pending
P1,taxon:birds:000044,canonical_taxon,Riparia riparia,nl,,Oeverzwaluw,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,4,2,,,,,,pending
P1,taxon:birds:000045,canonical_taxon,Alauda arvensis,fr,,Alouette des champs,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,1,1,1,0,,,,,,pending
